District_Area(km2),Cholera Cases,District,Distance From Main Road,Estimated Number of Poor Persons,Female Population,ID,Male population,Pop Density per district,Pop Total,Region,Time To Access Urban Centre,Water Scarcity,Distance to water body,Gdppersqkm,Flood Frequency Rates,Men Literacy Levels,Women Literacy Levels,Water Coverage,perc poor persons,perc water coverage,perc men lit ,perc women lit
47.5751,,Ledzokuku / Krowor,0,9336,118747,306,109185,4790.993608,227932,Greater Accra,0,0.57776314,7935,48,0.001270136,0.906557216,0.861801288,0.99094917,4,95,91,86
1374.7382,100,Chereponi,3626,18455,27188,817,26206,38.839395,53394,Northern,96,2.195454851,2863,1378,0.00071696,0.312065971,0.205077513,0.603177635,35,58,31,21
4226.9602,149,Sawla/Tuna/Kalba,10565,61780,51594,802,48269,23.625252,99863,Northern,130,2.157309327,3164,4224,2.98E-05,0.621513925,0.438231707,0.743102333,62,72,62,44
1105.9086,173,Biakoye,4216,20651,32844,412,33057,59.589915,65901,Volta,96,1.127151778,1825,1109,4.547544913,0.79478628,0.554559647,0.834221001,31,80,79,55
7555.0009,142,Gonja Central,8809,52879,44017,804,43860,11.631633,87877,Northern,147,2.128219828,4098,7559,0.017590183,0.335428977,0.198113829,0.484955303,60,47,34,20
3220.7105,135,Pru,6224,54818,63416,720,65832,40.130276,129248,Brong Ahafo,118,1.164896749,3288,3223,0.409605309,0.424996438,0.251831025,0.431996759,42,42,42,25
2022.6315,127,Savelugu Nanton,3832,44549,71752,813,67531,68.862272,139283,Northern,49,3.136860238,3122,2025,0.004166667,0.419420577,0.225898679,0.894922668,32,86,42,23
3119.2974,96,Karaga,6672,24863,40370,814,37336,24.911379,77706,Northern,75,3.157783831,2904,3124,0.000680565,0.322476002,0.182578872,0.713434538,32,69,32,18
8340.1757,135,East Gonja,9392,112130,65729,805,69721,16.240665,135450,Northern,147,2.162625043,3403,8351,0.391056453,0.386567835,0.237342235,0.732818374,83,71,39,24
358.2528,164,South Dayi,2607,12686,24529,409,22132,130.246016,46661,Volta,84,1.1267941,2012,359,4.924410652,0.810234816,0.631020721,0.839543555,27,81,81,63
4297.1101,167,Wa East,7162,59577,35678,1003,36396,16.772668,72074,Upper West,129,2.253019163,2592,4296,2.59E-05,0.449769284,0.358656445,0.918191496,83,88,45,36
1751.1592,89,Saboba,3501,25757,33386,816,32320,37.521432,65706,Northern,87,1.696398203,2899,1755,0.000224841,0.280534701,0.138197311,0.869968917,39,84,28,14
2674.0833,106,Gushiegu,4814,39328,57073,815,54186,41.606408,111259,Northern,64,2.249008469,3065,2679,1.37E-05,0.34432736,0.202830285,0.824051135,35,79,34,20
5092.8408,112,Sissala East,7110,26399,29025,1004,27503,11.099503,56528,Upper West,152,2.551876673,2938,5092,1.89E-05,0.384965388,0.398859543,0.974726691,47,94,38,40
2260.7849,95,Nanumba North,5792,44024,71587,808,69997,62.626038,141584,Northern,70,2.051994872,3057,2265,0.002239077,0.380123135,0.236591592,0.97567895,31,94,38,24
1789.1712,120,Nanumba South,4981,30569,46688,807,46776,52.238713,93464,Northern,47,1.884324052,3383,1793,0.001852703,0.361706747,0.237104195,0.940012408,33,91,36,24
1145.0379,128,Wenchi,2356,36307,45674,714,44065,78.372078,89739,Brong Ahafo,60,1.130150498,2945,1145,0,0.845271011,0.742384654,0.872881756,40,84,85,74
489.0231,207,Tano South,1377,29315,39830,706,38299,159.765459,78129,Brong Ahafo,69,1.131751884,4256,489,0,0.838301602,0.694148399,0.817148892,38,79,84,69
506.7123,182,Sunyani Municipal,2133,21524,61614,708,61610,243.183361,123224,Brong Ahafo,36,1.129680634,4270,506,0,0.900978736,0.763308007,0.924542363,17,89,90,76
1153.2683,221,Asante Akim South,1428,25398,59294,609,57951,101.663247,117245,Ashanti,71,0.616458323,2313,1154,0,0.777004728,0.580586003,0.855894997,22,82,78,58
289.7833,,Ada East,1798,4172,37659,310,34012,247.326192,71671,Greater Accra,54,0,2519,291,0.885356417,0.73258098,0.548023062,0.902607124,6,87,73,55
968.3617,247,Shai Osu Doku,2203,27547,26621,309,25292,53.609101,51913,Greater Accra,47,1.749410412,4947,971,0.001428702,0.784476525,0.55466675,0.779447552,53,75,78,55
323.7207,,Ada West,997,6387,30545,316,28579,182.638923,59124,Greater Accra,44,0,2977,325,0.798564372,0.708909975,0.529999595,0.793223425,11,76,71,53
622.1956,248,Ningo Prampram,1209,21379,37409,315,33514,113.98827,70923,Greater Accra,23,3.720098762,2541,624,0.002818674,0.722195093,0.591306573,0.848066558,30,82,72,59
767.0433,156,Kasena Nankana East,2661,25967,56268,903,53676,143.334803,109944,Upper East,55,3.114751582,2937,768,0.013331811,0.588779009,0.463691044,0.926694289,24,89,59,46
36.0329,,La Dade Kotopon,0,2348,96790,312,86738,5093.345248,183528,Greater Accra,0,0.57776314,13943,36,0.000122951,0.913722966,0.814802445,0.988624863,1,95,91,81
2610.3018,139,Aowin,4346,10263,56624,112,61262,45.161828,117886,Western,208,0.60107368,3369,2607,0,0.705481624,0.572735157,0.84850691,9,82,71,57
400.1403,100,Suaman,1915,1206,9883,120,10646,51.304505,20529,Western,161,0.973083087,4693,400,0,0.663754692,0.469211008,0.740739026,6,71,66,47
783.5686,93,Bia East,3458,6728,13020,122,14373,34.959288,27393,Western,136,1.657752508,3494,782,0,0.79005908,0.424557039,0.702560847,25,68,79,42
1287.2647,127,Bia West,5208,12569,43222,117,45717,69.091462,88939,Western,190,1.840981101,4417,1285,0,0.76097435,0.478174551,0.755904377,14,73,76,48
662.4044,103,Bodi,2550,22213,26203,121,27111,80.485576,53314,Western,146,0.587721642,3337,662,0,0.759593915,0.50156916,0.823419932,42,79,76,50
1369.9236,91,Juabeso,2569,8012,28693,116,29742,42.655663,58435,Western,180,0.884261946,3394,1368,0,0.776855092,0.505362445,0.769270322,14,74,78,51
193.6718,247,Shama,957,17521,43262,106,38704,423.22114,81966,Western,16,0.613385249,2305,194,0.004148871,0.86219134,0.814014479,0.984672231,21,95,86,81
1651.9923,219,Wassa East,2825,20383,40089,107,40984,49.075895,81073,Western,114,0.745119094,3085,1652,7.16E-06,0.738504907,0.641778188,0.856065183,25,83,74,64
524.5339,246,Mpohor,1421,16971,21437,118,21486,81.830745,42923,Western,52,0.624371148,2167,524,4.23E-05,0.752241847,0.593246054,0.929058512,40,90,75,59
1257.1375,141,Bunkpurugu Yonyo,2831,66444,62351,818,60240,97.515984,122591,Northern,50,2.254723922,2291,1260,1.39E-05,0.474424907,0.241308335,0.64029628,54,62,47,24
1448.5558,178,Wassa Amenfi West,2558,6207,44791,111,47361,63.616465,92152,Western,228,0.563937559,3075,1447,0,0.754537052,0.636385861,0.837048781,7,81,75,64
1845.9316,214,Wassa Amenfi Central,2356,35095,33148,119,35866,37.387084,69014,Western,198,0.56372095,3268,1845,0,0.723095584,0.617429869,0.790640587,51,76,72,62
300.6621,171,Mfantsiman,713,40489,79409,204,64923,480.047202,144332,Central,16,1.696302772,4347,301,0.00084496,0.723101654,0.70289863,0.967783427,28,93,72,70
276.6515,153,Ekumfi,278,24695,28129,219,24102,188.797097,52231,Central,19,0,3528,277,0.002139953,0.702719304,0.601945664,0.948706754,47,91,70,60
575.5032,213,Twifo Lower Denkyira,2752,10080,27761,218,27370,95.796166,55131,Central,68,1.423981119,4392,576,0,0.715287398,0.671904737,0.845323418,18,81,72,67
955.3981,167,Twifo Ati-Morkwa,2312,4666,31489,215,30254,64.625416,61743,Central,108,0.563917287,3191,956,0,0.750763707,0.593082952,0.91215143,8,88,75,59
108.0042,247,Awutu Senya East Municipal,939,21320,56225,220,52197,1003.868368,108422,Central,13,0.935011934,5184,108,0.001052488,0.835041425,0.749349872,0.973105398,20,94,84,75
70.887,224,La Nkwantanang Madina,124,3025,57655,313,54271,1578.935489,111926,Greater Accra,5,0.57776314,8037,71,8.33E-05,0.937623007,0.828616726,0.981977426,3,95,94,83
