Cholera_Cases,District,Distance_From_Main_Road,ID,Region,Time_To_Access_UrbanCentre,Water_Scarcity,Distance_to_waterbody,percpoorpersons,percwatercoverage,perc_men_lit,perc_women_lit,District_C,flood_freq,DistCode,water_scarcity
NA,Ledzokuku / Krowor,0,306,Greater Accra,0,0.57776314,7935,4,95,91,86,Teshie,0 to 7 days of Flooding,306,Low
100,Chereponi,3626,817,Northern,96,2.195454851,2863,35,58,31,21,Chereponi,0 to 7 days of Flooding,817,Severe
149,Sawla/Tuna/Kalba,10565,802,Northern,130,2.157309327,3164,62,72,62,44,Sawla,0 to 7 days of Flooding,802,Severe
173,Biakoye,4216,412,Volta,96,1.127151778,1825,31,80,79,55,Ahenkro,More than 1 month of Flooding,412,Moderate
142,Gonja Central,8809,804,Northern,147,2.128219828,4098,60,47,34,20,Buipe,0 to 7 days of Flooding,804,Severe
135,Pru,6224,720,Brong Ahafo,118,1.164896749,3288,42,42,42,25,Yeji,0 to 7 days of Flooding,720,Moderate
127,Savelugu Nanton,3832,813,Northern,49,3.136860238,3122,32,86,42,23,Savelugu,0 to 7 days of Flooding,813,Severe
96,Karaga,6672,814,Northern,75,3.157783831,2904,32,69,32,18,Karaga,0 to 7 days of Flooding,814,Severe
135,East Gonja,9392,805,Northern,147,2.162625043,3403,83,71,39,24,Salaga,0 to 7 days of Flooding,805,Severe
164,South Dayi,2607,409,Volta,84,1.1267941,2012,27,81,81,63,Kpeve,More than 1 month of Flooding,409,Moderate
167,Wa East,7162,1003,Upper West,129,2.253019163,2592,83,88,45,36,Funsi,0 to 7 days of Flooding,1003,Severe
89,Saboba,3501,816,Northern,87,1.696398203,2899,39,84,28,14,Saboba,0 to 7 days of Flooding,816,Significant
106,Gushiegu,4814,815,Northern,64,2.249008469,3065,35,79,34,20,Gushiegu,0 to 7 days of Flooding,815,Severe
112,Sissala East,7110,1004,Upper West,152,2.551876673,2938,47,94,38,40,Tumu,0 to 7 days of Flooding,1004,Severe
95,Nanumba North,5792,808,Northern,70,2.051994872,3057,31,94,38,24,Bimbilia,0 to 7 days of Flooding,808,Severe
120,Nanumba South,4981,807,Northern,47,1.884324052,3383,33,91,36,24,Wulensi,0 to 7 days of Flooding,807,Significant
128,Wenchi,2356,714,Brong Ahafo,60,1.130150498,2945,40,84,85,74,Wenchi,0 to 7 days of Flooding,714,Moderate
207,Tano South,1377,706,Brong Ahafo,69,1.131751884,4256,38,79,84,69,Becham,0 to 7 days of Flooding,706,Moderate
182,Sunyani Municipal,2133,708,Brong Ahafo,36,1.129680634,4270,17,89,90,76,Sunyani,0 to 7 days of Flooding,708,Moderate
221,Asante Akim South,1428,609,Ashanti,71,0.616458323,2313,22,82,78,58,Juaso,0 to 7 days of Flooding,609,Low
NA,Ada East,1798,310,Greater Accra,54,0,2519,6,87,73,55,Ada Foah,1 to 2 weeks of Flooding,310,Low
247,Shai Osu Doku,2203,309,Greater Accra,47,1.749410412,4947,53,75,78,55,Dodowa,0 to 7 days of Flooding,309,Significant
NA,Ada West,997,316,Greater Accra,44,0,2977,11,76,71,53,Sege,1 to 2 weeks of Flooding,316,Low
248,Ningo Prampram,1209,315,Greater Accra,23,3.720098762,2541,30,82,72,59,Prampram,0 to 7 days of Flooding,315,Severe
156,Kasena Nankana East,2661,903,Upper East,55,3.114751582,2937,24,89,59,46,Navrongo,0 to 7 days of Flooding,903,Severe
NA,La Dade Kotopon,0,312,Greater Accra,0,0.57776314,13943,1,95,91,81,La,0 to 7 days of Flooding,312,Low
139,Aowin,4346,112,Western,208,0.60107368,3369,9,82,71,57,Dadieso,0 to 7 days of Flooding,112,Low
100,Suaman,1915,120,Western,161,0.973083087,4693,6,71,66,47,Enchi,0 to 7 days of Flooding,120,Low
93,Bia East,3458,122,Western,136,1.657752508,3494,25,68,79,42,Debiso,0 to 7 days of Flooding,122,Significant
127,Bia West,5208,117,Western,190,1.840981101,4417,14,73,76,48,Adabokrom,0 to 7 days of Flooding,117,Significant
103,Bodi,2550,121,Western,146,0.587721642,3337,42,79,76,50,Bodi,0 to 7 days of Flooding,121,Low
91,Juabeso,2569,116,Western,180,0.884261946,3394,14,74,78,51,Juaboso,0 to 7 days of Flooding,116,Low
247,Shama,957,106,Western,16,0.613385249,2305,21,95,86,81,Shama,0 to 7 days of Flooding,106,Low
219,Wassa East,2825,107,Western,114,0.745119094,3085,25,83,74,64,Daboase,0 to 7 days of Flooding,107,Low
246,Mpohor,1421,118,Western,52,0.624371148,2167,40,90,75,59,Mpohor,0 to 7 days of Flooding,118,Low
141,Bunkpurugu Yonyo,2831,818,Northern,50,2.254723922,2291,54,62,47,24,Bunkpurugu,0 to 7 days of Flooding,818,Severe
178,Wassa Amenfi West,2558,111,Western,228,0.563937559,3075,7,81,75,64,Asankrangwa,0 to 7 days of Flooding,111,Low
214,Wassa Amenfi Central,2356,119,Western,198,0.56372095,3268,51,76,72,62,Manso Amenfi,0 to 7 days of Flooding,119,Low
171,Mfantsiman,713,204,Central,16,1.696302772,4347,28,93,72,70,Saltpound,0 to 7 days of Flooding,204,Significant
153,Ekumfi,278,219,Central,19,0,3528,47,91,70,60,Essarkyir,0 to 7 days of Flooding,219,Low
213,Twifo Lower Denkyira,2752,218,Central,68,1.423981119,4392,18,81,72,67,Twifo Hemang,0 to 7 days of Flooding,218,Moderate
167,Twifo Ati-Morkwa,2312,215,Central,108,0.563917287,3191,8,88,75,59,Twifo Praso,0 to 7 days of Flooding,215,Low
247,Awutu Senya East Municipal,939,220,Central,13,0.935011934,5184,20,94,84,75,Kasoa,0 to 7 days of Flooding,220,Low
